purchase_date,year,quarter,month,month_name,week,day_of_week,is_weekend
2018-07-01,2018,3,7,July,26,Sunday,True
2018-07-02,2018,3,7,July,27,Monday,False
2018-07-03,2018,3,7,July,27,Tuesday,False
2018-07-04,2018,3,7,July,27,Wednesday,False
2018-07-05,2018,3,7,July,27,Thursday,False
2018-07-06,2018,3,7,July,27,Friday,False
2018-07-07,2018,3,7,July,27,Saturday,True
2018-07-08,2018,3,7,July,27,Sunday,True
2018-07-09,2018,3,7,July,28,Monday,False
2018-07-10,2018,3,7,July,28,Tuesday,False
2018-07-11,2018,3,7,July,28,Wednesday,False
2018-07-12,2018,3,7,July,28,Thursday,False
2018-07-13,2018,3,7,July,28,Friday,False
2018-07-14,2018,3,7,July,28,Saturday,True
2018-07-15,2018,3,7,July,28,Sunday,True
2018-07-16,2018,3,7,July,29,Monday,False
2018-07-17,2018,3,7,July,29,Tuesday,False
2018-07-18,2018,3,7,July,29,Wednesday,False
2018-07-19,2018,3,7,July,29,Thursday,False
2018-07-20,2018,3,7,July,29,Friday,False
2018-07-21,2018,3,7,July,29,Saturday,True
2018-07-22,2018,3,7,July,29,Sunday,True
2018-07-23,2018,3,7,July,30,Monday,False
2018-07-24,2018,3,7,July,30,Tuesday,False
2018-07-25,2018,3,7,July,30,Wednesday,False
2018-07-26,2018,3,7,July,30,Thursday,False
2018-07-27,2018,3,7,July,30,Friday,False
2018-07-28,2018,3,7,July,30,Saturday,True
2018-07-29,2018,3,7,July,30,Sunday,True
2018-07-30,2018,3,7,July,31,Monday,False
2018-07-31,2018,3,7,July,31,Tuesday,False
2018-08-01,2018,3,8,August,31,Wednesday,False
2018-08-02,2018,3,8,August,31,Thursday,False
2018-08-03,2018,3,8,August,31,Friday,False
2018-08-04,2018,3,8,August,31,Saturday,True
2018-08-05,2018,3,8,August,31,Sunday,True
2018-08-06,2018,3,8,August,32,Monday,False
2018-08-07,2018,3,8,August,32,Tuesday,False
2018-08-08,2018,3,8,August,32,Wednesday,False
2018-08-09,2018,3,8,August,32,Thursday,False
2018-08-10,2018,3,8,August,32,Friday,False
2018-08-11,2018,3,8,August,32,Saturday,True
2018-08-12,2018,3,8,August,32,Sunday,True
2018-08-13,2018,3,8,August,33,Monday,False
2018-08-14,2018,3,8,August,33,Tuesday,False
2018-08-15,2018,3,8,August,33,Wednesday,False
2018-08-16,2018,3,8,August,33,Thursday,False
2018-08-17,2018,3,8,August,33,Friday,False
2018-08-18,2018,3,8,August,33,Saturday,True
2018-08-19,2018,3,8,August,33,Sunday,True
2018-08-20,2018,3,8,August,34,Monday,False
2018-08-21,2018,3,8,August,34,Tuesday,False
2018-08-22,2018,3,8,August,34,Wednesday,False
2018-08-23,2018,3,8,August,34,Thursday,False
2018-08-24,2018,3,8,August,34,Friday,False
2018-08-25,2018,3,8,August,34,Saturday,True
2018-08-26,2018,3,8,August,34,Sunday,True
2018-08-27,2018,3,8,August,35,Monday,False
2018-08-28,2018,3,8,August,35,Tuesday,False
2018-08-29,2018,3,8,August,35,Wednesday,False
