purchase_date,year,quarter,month,month_name,week,day_of_week,is_weekend
2017-02-04,2017,1,2,February,5,Saturday,True
2017-02-05,2017,1,2,February,5,Sunday,True
2017-02-06,2017,1,2,February,6,Monday,False
2017-02-07,2017,1,2,February,6,Tuesday,False
2017-02-08,2017,1,2,February,6,Wednesday,False
2017-02-09,2017,1,2,February,6,Thursday,False
2017-02-10,2017,1,2,February,6,Friday,False
2017-02-11,2017,1,2,February,6,Saturday,True
2017-02-12,2017,1,2,February,6,Sunday,True
2017-02-13,2017,1,2,February,7,Monday,False
2017-02-14,2017,1,2,February,7,Tuesday,False
2017-02-15,2017,1,2,February,7,Wednesday,False
2017-02-16,2017,1,2,February,7,Thursday,False
2017-02-17,2017,1,2,February,7,Friday,False
2017-02-18,2017,1,2,February,7,Saturday,True
2017-02-19,2017,1,2,February,7,Sunday,True
2017-02-20,2017,1,2,February,8,Monday,False
2017-02-21,2017,1,2,February,8,Tuesday,False
2017-02-22,2017,1,2,February,8,Wednesday,False
2017-02-23,2017,1,2,February,8,Thursday,False
2017-02-24,2017,1,2,February,8,Friday,False
2017-02-25,2017,1,2,February,8,Saturday,True
2017-02-26,2017,1,2,February,8,Sunday,True
2017-02-27,2017,1,2,February,9,Monday,False
2017-02-28,2017,1,2,February,9,Tuesday,False
2017-03-01,2017,1,3,March,9,Wednesday,False
2017-03-02,2017,1,3,March,9,Thursday,False
2017-03-03,2017,1,3,March,9,Friday,False
2017-03-04,2017,1,3,March,9,Saturday,True
2017-03-05,2017,1,3,March,9,Sunday,True
2017-03-06,2017,1,3,March,10,Monday,False
2017-03-07,2017,1,3,March,10,Tuesday,False
2017-03-08,2017,1,3,March,10,Wednesday,False
2017-03-09,2017,1,3,March,10,Thursday,False
2017-03-10,2017,1,3,March,10,Friday,False
2017-03-11,2017,1,3,March,10,Saturday,True
2017-03-12,2017,1,3,March,10,Sunday,True
2017-03-13,2017,1,3,March,11,Monday,False
2017-03-14,2017,1,3,March,11,Tuesday,False
2017-03-15,2017,1,3,March,11,Wednesday,False
2017-03-16,2017,1,3,March,11,Thursday,False
2017-03-17,2017,1,3,March,11,Friday,False
2017-03-18,2017,1,3,March,11,Saturday,True
2017-03-19,2017,1,3,March,11,Sunday,True
2017-03-20,2017,1,3,March,12,Monday,False
2017-03-21,2017,1,3,March,12,Tuesday,False
2017-03-22,2017,1,3,March,12,Wednesday,False
2017-03-23,2017,1,3,March,12,Thursday,False
2017-03-24,2017,1,3,March,12,Friday,False
2017-03-25,2017,1,3,March,12,Saturday,True
2017-03-26,2017,1,3,March,12,Sunday,True
2017-03-27,2017,1,3,March,13,Monday,False
2017-03-28,2017,1,3,March,13,Tuesday,False
2017-03-29,2017,1,3,March,13,Wednesday,False
